blockNumber,timestamp,transactionHash,from,to,value,address,tokenName,decimals,,tokenPrice
19148575,1706972327,0x5a808128340c4dbb03dfefb88a8a2dc0445d6432d32bd1b351132a2e1b010f61,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x3a23f943181408eac424116af7b7790c94cb97a5,45601671,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999662
19148581,1706972399,0xd738ac1d3d0cf9c62b1dafb155a00401a56c22a761e3db17c7376bf43e99d36b,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x3a23f943181408eac424116af7b7790c94cb97a5,2116284995,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19148603,1706972663,0x7c007f9dcb6670bb951f92680e9f07beb403fc8c58ec07aadbb7f303e02594ff,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x3a23f943181408eac424116af7b7790c94cb97a5,136433568,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.998728
19148626,1706972951,0x580a92b1169d5df98534db9febead768bfaa75587684f0a6d1905cb34ee3e683,0x4b9a5e9bbe0233ffe35a57384fec68ad6565d801,0x3a23f943181408eac424116af7b7790c94cb97a5,1986000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.782286
19148712,1706974019,0xf65f393416646e9cb24a88d2489dbf4b2029df08307f29b0eb9eea4783b0f637,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3a23f943181408eac424116af7b7790c94cb97a5,638824760,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,1
19148713,1706974031,0xde54eae36731eb3c58b8d965ff276a9f87d07bb3055eb23fad2cd4d9e8b5b582,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3a23f943181408eac424116af7b7790c94cb97a5,1086040093095081016,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2302.96
19148793,1706974991,0x09e109907035a1a32ade879cc3871a437bf48419da94b1372adf833d1746086b,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,148687500,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,1.001
19148797,1706975039,0xe743482a8d05a96ee01c18c4024109bf912ddc3e3296f9b2b4561f5c435a2b04,0x01098b1b8d9e4ec846ca055c828c42fdd6d34ba1,0x3a23f943181408eac424116af7b7790c94cb97a5,790343800,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,1.001
19148814,1706975243,0x35a87de5f0b5b652a608af1971867cb10f15e5fe8b2570a279ae51a5d6fe2089,0x637e1ace5f5f67760abfd43eaa0d5fb5d56a4009,0x3a23f943181408eac424116af7b7790c94cb97a5,695974594,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1.002
19148823,1706975351,0xc62d5912bcd67c7f515adf9fdb2601f23ac6b69cb17ee012df44796ebededf6b,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,0x3a23f943181408eac424116af7b7790c94cb97a5,270255289243590988254,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,SAND,18,,0.441005
19148849,1706975663,0x66b0b17d943edfb9be56d521e66345799f47196238d387b5c145690888a95f46,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3a23f943181408eac424116af7b7790c94cb97a5,445708445,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.9997163567448217
19148881,1706976047,0xc1b172e56b9dcc593ed8c0369b0666dbe870668ca9a3e1e3c54ec19599abcffc,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3a23f943181408eac424116af7b7790c94cb97a5,102737704,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.99939638397025
